BTC,ETH,ADA,BNB,XRP,SOL,DOT,DOGE,MATIC,LTC,date
1.1096018479778828e-22,-1.1081059162906888e-22,1.0,-1.1080260953075493e-22,-5.571784677304376e-23,1.110836561318562e-22,-3.612087465525292e-26,1.1100720868002233e-22,-2.2003419433194504e-25,2.800070634347857e-23,2017-10-17
3.912664470754611e-22,2.303762551168041e-22,2.2852874191381153e-22,2.8863628533575446e-22,2.8776577754948057e-22,2.275458752913819e-22,1.1782776904335897e-22,1.0,2.315612488526469e-22,1.126734447238608e-22,2017-10-24
1.0,1.1267425044435676e-22,1.0343139320264998e-24,1.136183669218155e-22,2.785889056251265e-22,1.4026001507577614e-22,-1.657183790540832e-22,6.945677233519467e-25,1.1099706925513304e-24,1.78934946539665e-24,2017-10-31
1.131720684525377e-22,1.6838635401572841e-22,-1.0759455115084552e-22,-1.6467707653704536e-22,1.0,3.905165700738024e-25,5.664671722929902e-23,-2.4301387821574925e-23,-5.448172497437389e-23,1.2020255532464249e-24,2017-11-07
5.145916927322922e-22,2.3153600114983413e-22,2.887401610537064e-22,3.433527005008475e-22,2.290008221616831e-22,1.0,2.4410619415887127e-22,3.8023600953607866e-22,1.7867305397515096e-22,2.902344904565498e-22,2017-11-14
3.616239585596116e-24,1.0,1.9089668264454674e-24,2.2484321763171185e-22,-5.114945357398975e-23,3.1558617364231138e-24,2.0525410642655987e-24,-5.21677857826555e-23,1.7087757604105192e-22,1.140669662187088e-22,2017-11-21
-1.0972148800690123e-22,6.815125329714937e-25,-5.448405841414632e-23,-6.917993188266214e-23,-5.46123164167498e-23,-1.1020268686668773e-22,5.65447970674866e-23,1.0,-2.214055307385482e-22,9.0799796707509e-25,2017-11-28
1.121559007842105e-22,2.2391645983663504e-22,2.244184138086457e-22,2.2414532183439364e-22,3.8860861311950846e-22,1.0,2.2272108350875855e-22,2.2341036300442473e-22,2.2454624619151667e-22,2.2488190628559145e-22,2017-12-05
3.332365476962057e-22,2.231967174093782e-22,2.2361002317722397e-22,2.7841919824205354e-22,2.22588060663028e-22,2.230427748768579e-22,2.229982907923972e-22,1.0,1.1205322659386183e-22,2.228769000481519e-22,2017-12-12
-1.6636142972144088e-22,-1.1084197610504161e-22,-1.105090209333514e-22,1.0,-1.6615515979790222e-22,-1.941674680365808e-22,-2.079486083876723e-22,-1.3835561870526695e-22,-1.6631455928728996e-22,-2.2187720444649005e-22,2017-12-19
6.593770645321117e-23,1.0,-2.7748265462436597e-22,-3.885467922947857e-22,-1.1100399358611402e-22,-2.497863688903142e-22,-2.220147907065718e-22,-1.824957212225704e-26,-1.9422877958957428e-22,-5.552134107473746e-23,2017-12-26
2.2207046870840346e-22,1.0943422220437912e-22,1.0949064300156803e-22,1.0,5.441400247668541e-23,1.0884913134482891e-22,1.0933524350689667e-22,1.64025552893431e-22,2.198184189033583e-22,5.2821117775109654e-23,2018-01-02
1.1110035124971286e-22,-2.782757965051563e-23,1.0,2.221361350855944e-22,5.562736553115795e-23,1.1962656314209152e-25,-2.7748734900927194e-22,5.554546926451807e-23,5.557496342099109e-23,1.111832782212885e-22,2018-01-09
-5.432950032051944e-23,-5.500634937821983e-23,5.905233470925271e-25,-1.1063767610122802e-22,-1.3811304033074091e-22,-5.484072471856918e-23,-1.9348751815155125e-22,-2.769573880892839e-22,1.0,-8.238166336905154e-23,2018-01-16
1.1918409383369217e-25,1.3595876800449407e-25,1.0,6.529606939609189e-26,2.6796632355735855e-25,-1.109429320299977e-22,-2.768262714481233e-23,-1.1095782818753786e-22,5.560765798461585e-23,2.776155957189926e-22,2018-01-23
3.736248104095159e-23,1.1323149462141956e-22,1.0,-5.2289429820970026e-23,1.958908881217192e-22,5.841479373611696e-23,1.1304259134899057e-22,3.1056761352721175e-23,1.469057126320089e-22,2.243505380169485e-22,2018-01-30
2.2222184594614902e-22,2.7749921887143105e-22,1.108821556174393e-22,2.222168986334857e-22,2.225403076537615e-22,2.220440518274475e-22,3.8901537070089143e-22,1.0,4.1661086350798647e-22,3.8885155358119e-22,2018-02-06
